year,district_code,district_name,neighbourhood_code,neighbourhood_name,From 6 months to 12 motnhs,Over 12 months,Up to 6 months
2019,9,Sant Andreu,58,Baró de Viver,200,546,639
2019,9,Sant Andreu,59,el Bon Pastor,1142,3100,3631
2019,9,Sant Andreu,60,Sant Andreu,4622,12546,14703
2019,9,Sant Andreu,61,la Sagrera,2287,5234,6833
2019,9,Sant Andreu,62,el Congrés i els Indians,1113,2546,3328
2019,9,Sant Andreu,63,Navas,1704,3900,5128
2019,10,Sant Martí,64,el Camp de l'Arpa del Clot,3317,7494,9875
2019,10,Sant Martí,65,el Clot,2234,5429,6520
2019,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,1069,2719,3112
2019,10,Sant Martí,67,la Vila Olímpica del Poblenou,712,1740,2146
2019,10,Sant Martí,68,el Poblenou,2447,6017,7331
2019,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,1091,2884,3297
2019,10,Sant Martí,70,el Besòs i el Maresme,2478,6627,7520
2019,10,Sant Martí,71,Provençals del Poblenou,1611,4528,4992
2019,10,Sant Martí,72,Sant Martí de Provençals,2103,6410,6897
2019,10,Sant Martí,73,la Verneda i la Pau,2359,7270,7800
2019,99,No consta,99,No consta,41,50,104
2020,1,Ciutat Vella,1,el Raval,13295,15004,22484
2020,1,Ciutat Vella,2,el Barri Gòtic,3658,4304,6539
2020,1,Ciutat Vella,3,la Barceloneta,3767,4694,6599
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",5193,6475,9086
2020,2,Eixample,5,el Fort Pienc,4139,5924,7849
2020,2,Eixample,6,la Sagrada Família,6659,9624,12481
2020,2,Eixample,7,la Dreta de l'Eixample,4904,5996,8967
2020,2,Eixample,8,l'Antiga Esquerra de l'Eixample,5225,6130,9496
2020,2,Eixample,9,la Nova Esquerra de l'Eixample,7634,10116,13705
2020,2,Eixample,10,Sant Antoni,5732,7211,10473
2020,3,Sants-Montjuïc,11,el Poble Sec,8032,10219,14418
2020,3,Sants-Montjuïc,12,la Marina del Prat Vermell,330,510,565
2020,3,Sants-Montjuïc,13,la Marina de Port,5387,8685,9087
2020,3,Sants-Montjuïc,14,la Font de la Guatlla,2008,2598,3593
2020,3,Sants-Montjuïc,15,Hostafrancs,2480,3522,4267
2020,3,Sants-Montjuïc,16,la Bordeta,2907,4133,5007
2020,3,Sants-Montjuïc,17,Sants - Badal,2944,4294,5335
2020,3,Sants-Montjuïc,18,Sants,5801,8311,10199
2020,4,Les Corts,19,les Corts,5866,8332,10344
2020,4,Les Corts,20,la Maternitat i Sant Ramon,2910,4246,5273
2020,4,Les Corts,21,Pedralbes,675,986,1190
2020,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",328,474,541
2020,5,Sarrià-Sant Gervasi,23,Sarrià,1546,2253,2657
2020,5,Sarrià-Sant Gervasi,24,les Tres Torres,1277,1842,2099
2020,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,2155,2798,3415
2020,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,3855,4802,6607
2020,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,3463,4459,6117
2020,6,Gràcia,28,Vallcarca i els Penitents,2239,3014,4014
2020,6,Gràcia,29,el Coll,954,1251,1700
2020,6,Gràcia,30,la Salut,1849,2606,3337
2020,6,Gràcia,31,la Vila de Gràcia,7272,8575,13748
2020,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,4443,6239,8195
2020,7,Horta-Guinardó,33,el Baix Guinardó,3402,4889,6244
2020,7,Horta-Guinardó,34,Can Baró,1319,1873,2385
