year,district_code,district_name,neighbourhood_code,neighbourhood_name,1 Spanish,1 foreigner,2 Spanish,2 foreigners,3 Spanish,3 foreigners,4 espanyols o més,more than 4 foreigners,no Spanish,no foreigner
2016,9,Sant Andreu,61,la Sagrera,3374.0,788.0,3690.0,312.0,2298.0,194.0,1785.0,271.0,,
2016,9,Sant Andreu,62,el Congrés i els Indians,1990.0,393.0,1721.0,154.0,1028.0,86.0,885.0,156.0,,
2016,9,Sant Andreu,63,Navas,2702.0,629.0,2710.0,271.0,1673.0,155.0,1401.0,255.0,,
2016,10,Sant Martí,64,el Camp de l'Arpa del Clot,5457.0,1476.0,4688.0,635.0,2816.0,343.0,2126.0,405.0,,
2016,10,Sant Martí,65,el Clot,3117.0,862.0,2995.0,340.0,1997.0,198.0,1934.0,288.0,,
2016,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,1931.0,674.0,1638.0,263.0,1028.0,150.0,831.0,205.0,,
2016,10,Sant Martí,67,la Vila Olímpica del Poblenou,818.0,498.0,826.0,150.0,685.0,89.0,782.0,89.0,,
2016,10,Sant Martí,68,el Poblenou,4144.0,1507.0,3439.0,585.0,2320.0,337.0,2315.0,382.0,,
2016,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,1597.0,584.0,1364.0,254.0,964.0,121.0,916.0,169.0,,
2016,10,Sant Martí,70,el Besòs i el Maresme,2365.0,591.0,2346.0,330.0,1396.0,272.0,1273.0,582.0,,
2016,10,Sant Martí,71,Provençals del Poblenou,2230.0,602.0,2274.0,245.0,1690.0,153.0,1402.0,221.0,,
2016,10,Sant Martí,72,Sant Martí de Provençals,3142.0,616.0,3212.0,251.0,2028.0,143.0,1730.0,236.0,,
2016,10,Sant Martí,73,la Verneda i la Pau,3047.0,549.0,3700.0,236.0,2245.0,162.0,1961.0,286.0,,
2017,1,Ciutat Vella,1,el Raval,6030.0,3353.0,3135.0,1770.0,1563.0,1152.0,1423.0,2286.0,,
2017,1,Ciutat Vella,2,el Barri Gòtic,2371.0,1485.0,1166.0,823.0,541.0,381.0,433.0,495.0,,
2017,1,Ciutat Vella,3,la Barceloneta,2423.0,1404.0,1427.0,718.0,676.0,325.0,562.0,280.0,,
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",3794.0,2332.0,1911.0,1167.0,877.0,536.0,690.0,559.0,,
2017,2,Eixample,5,el Fort Pienc,4180.0,1493.0,3333.0,637.0,2113.0,382.0,1720.0,506.0,,
2017,2,Eixample,6,la Sagrada Família,7543.0,2373.0,5911.0,1073.0,3393.0,593.0,2806.0,714.0,,
2017,2,Eixample,7,la Dreta de l'Eixample,6316.0,2806.0,4324.0,1066.0,2574.0,520.0,2643.0,602.0,,
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,6556.0,2590.0,4470.0,940.0,2527.0,451.0,2398.0,553.0,,
2017,2,Eixample,9,la Nova Esquerra de l'Eixample,8469.0,2656.0,6670.0,1086.0,3799.0,575.0,3377.0,764.0,,
2017,2,Eixample,10,Sant Antoni,5955.0,2033.0,4325.0,798.0,2422.0,444.0,1929.0,614.0,,
2017,3,Sants-Montjuïc,11,el Poble Sec,5594.0,2347.0,3972.0,1161.0,2210.0,619.0,1696.0,1037.0,,
2017,3,Sants-Montjuïc,12,la Marina del Prat Vermell,168.0,28.0,102.0,8.0,64.0,5.0,95.0,8.0,,
2017,3,Sants-Montjuïc,13,la Marina de Port,3388.0,827.0,3297.0,375.0,2303.0,248.0,2151.0,392.0,,
2017,3,Sants-Montjuïc,14,la Font de la Guatlla,1465.0,456.0,1158.0,185.0,700.0,89.0,560.0,173.0,,
2017,3,Sants-Montjuïc,15,Hostafrancs,2256.0,775.0,1745.0,370.0,1030.0,181.0,831.0,272.0,,
2017,3,Sants-Montjuïc,16,la Bordeta,2270.0,563.0,2236.0,198.0,1464.0,150.0,1130.0,192.0,,
2017,3,Sants-Montjuïc,17,Sants - Badal,3198.0,895.0,2918.0,351.0,1733.0,211.0,1314.0,363.0,,
2017,3,Sants-Montjuïc,18,Sants,5941.0,1726.0,4721.0,641.0,2804.0,343.0,2339.0,490.0,,
2017,4,Les Corts,19,les Corts,5906.0,1568.0,5414.0,459.0,3356.0,276.0,3182.0,321.0,,
2017,4,Les Corts,20,la Maternitat i Sant Ramon,2828.0,750.0,2810.0,254.0,1811.0,141.0,1714.0,202.0,,
2017,4,Les Corts,21,Pedralbes,1083.0,435.0,1010.0,131.0,703.0,99.0,986.0,214.0,,
2017,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",373.0,195.0,356.0,58.0,309.0,33.0,411.0,54.0,,
2017,5,Sarrià-Sant Gervasi,23,Sarrià,2466.0,917.0,2076.0,217.0,1433.0,158.0,2224.0,244.0,,
2017,5,Sarrià-Sant Gervasi,24,les Tres Torres,1344.0,496.0,1294.0,151.0,891.0,56.0,1744.0,98.0,,
2017,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,2688.0,956.0,2222.0,222.0,1495.0,110.0,2358.0,186.0,,
2017,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,5891.0,2024.0,4558.0,574.0,2797.0,297.0,3994.0,373.0,,
2017,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,4129.0,1384.0,2955.0,449.0,1810.0,189.0,2279.0,205.0,,
2017,6,Gràcia,28,Vallcarca i els Penitents,2097.0,653.0,1742.0,210.0,1062.0,120.0,1062.0,138.0,,
2017,6,Gràcia,29,el Coll,984.0,312.0,849.0,120.0,558.0,54.0,466.0,69.0,,
2017,6,Gràcia,30,la Salut,1748.0,531.0,1510.0,165.0,888.0,101.0,869.0,91.0,,
2017,6,Gràcia,31,la Vila de Gràcia,8692.0,3191.0,5530.0,1247.0,3043.0,551.0,2552.0,592.0,,
2017,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,5051.0,1461.0,4161.0,525.0,2517.0,242.0,2060.0,288.0,,
2017,7,Horta-Guinardó,33,el Baix Guinardó,3645.0,924.0,3041.0,400.0,1904.0,202.0,1526.0,225.0,,
2017,7,Horta-Guinardó,34,Can Baró,1265.0,361.0,1087.0,118.0,626.0,68.0,554.0,94.0,,
2017,7,Horta-Guinardó,35,el Guinardó,5125.0,1320.0,4391.0,514.0,2643.0,297.0,2213.0,366.0,,
2017,7,Horta-Guinardó,36,la Font d'en Fargues,952.0,211.0,1112.0,64.0,741.0,28.0,791.0,25.0,,
2017,7,Horta-Guinardó,37,el Carmel,3730.0,886.0,3803.0,389.0,2454.0,279.0,1983.0,359.0,,
2017,7,Horta-Guinardó,38,la Teixonera,1425.0,365.0,1445.0,156.0,909.0,100.0,707.0,118.0,,
2017,7,Horta-Guinardó,39,Sant Genís dels Agudells,876.0,232.0,917.0,91.0,482.0,49.0,416.0,68.0,,
2017,7,Horta-Guinardó,40,Montbau,745.0,127.0,663.0,53.0,334.0,39.0,286.0,43.0,,
2017,7,Horta-Guinardó,41,la Vall d'Hebron,684.0,103.0,718.0,51.0,474.0,33.0,389.0,43.0,,
2017,7,Horta-Guinardó,42,la Clota,88.0,17.0,76.0,5.0,60.0,2.0,29.0,5.0,,
2017,7,Horta-Guinardó,43,Horta,3194.0,609.0,3151.0,201.0,1941.0,119.0,1894.0,195.0,,
2017,8,Nou Barris,44,Vilapicina i la Torre Llobeta,3262.0,669.0,3142.0,299.0,1939.0,199.0,1599.0,292.0,,
2017,8,Nou Barris,45,Porta,3256.0,665.0,3228.0,271.0,1863.0,180.0,1309.0,313.0,,
2017,8,Nou Barris,46,el Turó de la Peira,2177.0,502.0,1771.0,257.0,951.0,217.0,826.0,296.0,,
2017,8,Nou Barris,47,Can Peguera,308.0,56.0,268.0,23.0,158.0,5.0,160.0,12.0,,
2017,8,Nou Barris,48,la Guineueta,1749.0,273.0,1989.0,95.0,1212.0,61.0,1083.0,95.0,,
2017,8,Nou Barris,49,Canyelles,715.0,86.0,914.0,32.0,597.0,19.0,527.0,17.0,,
2017,8,Nou Barris,50,les Roquetes,1663.0,466.0,1670.0,251.0,1063.0,177.0,954.0,324.0,,
2017,8,Nou Barris,51,Verdun,1734.0,350.0,1542.0,172.0,832.0,112.0,623.0,250.0,,
2017,8,Nou Barris,52,la Prosperitat,3208.0,607.0,3382.0,291.0,1977.0,204.0,1528.0,387.0,,
2017,8,Nou Barris,53,la Trinitat Nova,971.0,201.0,788.0,93.0,466.0,79.0,426.0,138.0,,
2017,8,Nou Barris,54,Torre Baró,230.0,84.0,233.0,34.0,173.0,38.0,237.0,46.0,,
