year,district_code,district_name,neighborhood_code,neighborhood_name,man_bachelors_degree,man_elementary_school,man_junior_high_school,man_senior_high_school,man_unknown,man_without education,woman_bachelors_degree,woman_elementary_school,woman_junior_high_school,woman_senior_high_school,woman_unknown,woman_without education
2017,8,Nou Barris,48,la Guineueta,955,1275,1824,1670,107,184,1337,1874,1839,1598,92,448
2017,8,Nou Barris,49,Canyelles,265,833,979,600,67,98,422,1006,944,546,52,211
2017,8,Nou Barris,50,les Roquetes,456,2085,2231,1140,149,232,698,2271,2106,1213,94,478
2017,8,Nou Barris,51,Verdun,449,1427,1679,1013,103,204,729,1765,1649,1127,79,427
2017,8,Nou Barris,52,la Prosperitat,1060,2911,3497,2416,210,493,1603,3569,3432,2490,176,987
2017,8,Nou Barris,53,la Trinitat Nova,174,943,1085,504,84,75,284,1042,1038,539,49,318
2017,8,Nou Barris,54,Torre Baró,79,419,385,167,46,33,119,424,344,167,38,67
2017,8,Nou Barris,55,Ciutat Meridiana,235,1554,1511,654,97,119,324,1662,1349,734,83,231
2017,8,Nou Barris,56,Vallbona,38,208,199,72,10,21,57,197,178,69,14,42
2017,9,Sant Andreu,57,la Trinitat Vella,305,1483,1458,782,98,119,469,1365,1179,705,73,224
2017,9,Sant Andreu,58,Baró de Viver,56,352,394,159,31,22,65,386,365,146,23,77
2017,9,Sant Andreu,59,el Bon Pastor,558,1433,1735,1069,109,133,749,1552,1510,1007,93,272
2017,9,Sant Andreu,60,Sant Andreu,4937,3972,5951,7152,395,393,6847,5467,6229,6376,320,956
2017,9,Sant Andreu,61,la Sagrera,2481,2090,3121,3546,191,208,3364,2978,3353,3326,151,531
2017,9,Sant Andreu,62,el Congrés i els Indians,1217,905,1472,1722,107,105,1736,1360,1534,1664,91,336
2017,9,Sant Andreu,63,Navas,2192,1374,2260,2813,150,142,2648,2229,2471,2591,118,385
2017,10,Sant Martí,64,el Camp de l'Arpa del Clot,4413,2364,3690,4804,254,220,5584,3519,3976,4268,195,641
2017,10,Sant Martí,65,el Clot,2719,1802,2878,3335,214,159,3396,2457,2900,2998,158,423
2017,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,2145,916,1345,1799,96,65,2385,1196,1323,1651,73,220
2017,10,Sant Martí,67,la Vila Olímpica del Poblenou,1997,220,461,979,108,10,2110,286,524,962,94,41
2017,10,Sant Martí,68,el Poblenou,4184,2069,3027,3780,246,197,4938,2621,2935,3458,185,545
2017,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,2031,609,1008,1430,116,89,2332,819,947,1270,82,168
2017,10,Sant Martí,70,el Besòs i el Maresme,920,3351,3019,1867,219,347,1237,2946,2773,1785,179,746
